Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
198,Kevin Harris (NE),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20%
199,Keaontay Ingram (ARI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
200,Gerrid Doaks (MIA),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
201,B.J. Emmons (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
202,Nick Ralston (DAL),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.10%
203,A.J. Rose Jr. (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
204,Tory Carter (TEN),0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0.00%
205,Ben Mason (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
206,Spencer Brown (CAR),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
207,Sincere McCormick (LV),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
208,Josh Johnson (SEA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
209,Tyrion Davis-Price (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40%
210,Breece Hall (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.30%
211,Tyler Goodson (GB),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
212,Jordan Mason (SF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
213,James Cook (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.90%
214,Kyren Williams (LAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90%
215,Ken Walker III (SEA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.90%
216,Zonovan Knight (NYJ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10%
217,Ricky Person Jr. (BAL),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
218,Jerrion Ealy (KC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
219,Snoop Conner (JAC),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00%
220,Dameon Pierce (HOU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.30%
